行番号 	投稿時間 	投稿者 	メッセージ 	スパチャ
000001 	00:00:00		御早和杯		運命の煮玉子 	
000002 	00:00:00		いぶきんぐ		名残惜しいけど仕事で離脱を余儀なくされてしまった… 	
000003 	00:00:00		たんこぶ			￥100
000004 	00:00:15		らう らう		おいしい煮玉子 	
000005 	00:00:15		JUNY		おいしい煮玉子 	
000006 	00:00:17		あい		おいしい煮玉子 	
000007 	00:00:18		ブロア		おいしい煮玉子 	
000008 	00:00:20		さんぽーる		美味しい煮玉子 	
000009 	00:00:20		周恩来		おいしい煮玉子 	
000010 	00:00:24		mori mori		もどってき玉子 	
000011 	00:00:25		岸辺一徳		おいしい煮玉子 	
000012 	00:00:26		タケノコ男		おいしい煮玉子 	
000013 	00:00:27		たんこぶ		再開だー！ 	
000014 	00:00:27		ki Tamaya		おいしい煮玉子 	
000015 	00:00:27		あい		かわいい 	
000016 	00:00:27		_ Die		おいしい煮玉子 	
000017 	00:00:30		うぇいのる		おいしい煮玉子 	
000018 	00:00:30		らう らう		またかわいい声だしてる 	
000019 	00:00:31		天然ステルス		おいしい煮玉子 	
000020 	00:00:31		8848 eve		おいしい煮玉子 	
000021 	00:00:32		ねこくーる		おいしい煮玉子 	
000022 	00:00:34		_ Die		かわいい 	
000023 	00:00:35		助六		おいしい煮玉子 	
000024 	00:00:35		ブロア		喉痛めた？ 	
000025 	00:00:36		しねちゅー		ダチョウの煮玉子 	
000026 	00:00:37		空気		おいしい煮玉子 	
000027 	00:00:37		うぇいのる		かわいい 	
000028 	00:00:38		さんぽーる		姉ちゃん！？声が！！ 	
000029 	00:00:39		FFDD		おいしい煮玉子 	
000030 	00:00:39		JUNY		かわいいﾔｯﾀｰ！ 	
000031 	00:00:40		ロンドベルジェニ		おいしい煮玉子 	
000032 	00:00:40		めるカバ		おいしい煮玉子 	
000033 	00:00:41		周恩来			￥100
000034 	00:00:42		8848 eve		かわいい 	
000035 	00:00:43		たんこぶ		かわいい 	
000036 	00:00:43		sio3go		おいしい煮玉子 	
000037 	00:00:47		周恩来		かわいい 	
000038 	00:00:48		タケノコ男		かわいい 	
000039 	00:00:50		Nas marl		清楚ギア 	
000040 	00:00:53		らう らう		かわいい 	
000041 	00:01:01		ロンドベルジェニ		かわいい 	
000042 	00:01:07		助六		清楚ギア！ 	
000043 	00:01:12		さんぽーる		このアイテムを作るじゃん？ 	
000044 	00:01:14		秋箱		かわいい 	
000045 	00:01:15		JUNY		kawaii声終了 	
000046 	00:01:18		周恩来		じゃーん！ 	
000047 	00:01:40		空気		清楚ギアシステムは危険 	
000048 	00:01:42		さんぽーる		トーチマン 	
000049 	00:01:56		mori mori		もう残り全部ラバーマンで行こうぜ 	
000050 	00:01:58		秋箱		kawaii 	￥360
000051 	00:02:01		やたごかわはす		この清楚ギアシステムは姉ちゃんの身体に負担がかかる危険があるんじゃ… 	
000052 	00:02:10		mori mori		アシッドマンこそ岩では？ 	
000053 	00:02:17		ジョナサン・グレーン		おいしい煮玉子 もう8ボス半分終わってる！すごい！ 	
000054 	00:02:22		はこ		ポケモンの相性くらいの気軽さで考えてこ 	
000055 	00:02:29		さんぽーる		泡では？ 	
000056 	00:02:37		JUNY		アシッドマンは酸マンだからなんか溶けなさそうなものが弱点だな 	
000057 	00:02:40		さんぽーる		今から変える？ 	
000058 	00:02:41		らう らう		イキりゲージが・・・・・・・ 	
000059 	00:02:41		Eトマトの囚人		おいしい煮玉子 	
000060 	00:02:41		Fuzuki K		ラバーマンて 	
000061 	00:02:45		なにここ		美味しい煮玉子 	
000062 	00:02:49		ニャンコ先生		全部ゴムまりで行けそうなんぬ 	
000063 	00:02:51		mogu sugar		おっそうだな 	
000064 	00:02:53		プラスワン		おいしい煮玉子 	
000065 	00:02:55		究極ド根性ダイコン		ブロック効きそう 	
000066 	00:02:56		ジョナサン・グレーン		イキリ姉ちゃんかわいい 	
000067 	00:02:59		たんこぶ		イキリギア 	
000068 	00:02:59		さんぽーる		おっそうだな 	
000069 	00:03:00		秋箱		ワイリーステージで泣きをみるんでしょ！知ってる！ 	
000070 	00:03:00		motiyomogi		おいしい煮玉子 	
000071 	00:03:01		mori mori		じゃあクリア後エキスパートでもう一周ということで・・・ 	
000072 	00:03:25		Fuzuki K		犬ジェット使わんの 	
000073 	00:03:31		mori mori		子供が喜びそうな飲み物じゃん 	
000074 	00:03:38		なにここ		超むずかしかったけどエキスパ楽しかったよ 	
000075 	00:03:50		やたごかわはす		緑が一番やばそう 	
000076 	00:04:00		ジョナサン・グレーン		ロックマンゼロにいたやつ！ 	
000077 	00:04:01		Fuzuki K		こいつX2にいたな 	
000078 	00:04:04		JUNY		シールドアタッカー 	
000079 	00:04:31		空気		ロックマンの水中面は… 	
000080 	00:04:31		なにここ		グロし！ 	
000081 	00:04:31		nmr		嫌な予感しかしない! 	
000082 	00:04:33		Fuzuki K		こわ 	
000083 	00:04:37		ブロア		排水管？ 	
000084 	00:04:38		タケノコ男		こわい 	
000085 	00:04:41		mori mori		水中ステージとか実質無限ジャンプできるしよゆーよゆー 	
000086 	00:04:47		岸辺一徳		しってた 	
000087 	00:04:47		やたごかわはす		廃棄場？ 	
000088 	00:04:50		通行人A		ホントに死体なのか・・・ 	
000089 	00:04:53		ジョナサン・グレーン		こわい 	
000090 	00:04:58		むらさきあんこ		水中ステージ定番の 	
000091 	00:05:00		はつかのねずみ		水中ステージ嫌だったのか 	
000092 	00:05:06		Fuzuki K		犬ジェットで突っ込も！ 	
000093 	00:05:10		黒城悪丸		水中ステージといえばトゲやね 	
000094 	00:05:22		mk 95		配置が嫌らしい 	
000095 	00:05:22		さんぽーる		アクションゲームで姉ちゃんが得意なギミックあるの？？ 	
000096 	00:05:34		うぇいのる		うまい 	
000097 	00:05:35		たんこぶ		うまい 	
000098 	00:05:38		なにここ		うまい 	
000099 	00:05:38		ジョナサン・グレーン		こわい 	
000100 	00:05:39		らう らう		うまうま 	
000101 	00:05:40		mk 95		うまい 	
000102 	00:05:41		周恩来		umai 	
000103 	00:05:50		ZW犬死無能盾-肉無鶏		うまうま 	
000104 	00:05:55		ジョナサン・グレーン		うまい 	
